Read from CSV  --  created at: 2022-05-11 15:27:03.194
Created new keyboard  --  created at: 2022-05-11 15:27:06.869
Created new GamingMonitor  --  created at: 2022-05-11 15:27:07.345
Read from CSV  --  created at: 2022-05-11 15:27:22.731
Created new keyboard  --  created at: 2022-05-11 15:27:30.41
Created new GamingMonitor  --  created at: 2022-05-11 15:27:30.931
Created new Mouse  --  created at: 2022-05-11 15:27:31.402
Requested all items  --  created at: 2022-05-11 15:27:33.521
Requested all items  --  created at: 2022-05-11 15:27:34.164
Requested all items  --  created at: 2022-05-11 15:27:35.235
Requested all items of type5  --  created at: 2022-05-11 15:27:35.244
Read from CSV  --  created at: 2022-05-11 15:27:50.973
Created new keyboard  --  created at: 2022-05-11 15:27:54.197
Created new GamingMonitor  --  created at: 2022-05-11 15:27:54.689
Created new Mouse  --  created at: 2022-05-11 15:27:55.095
Displayed all items  --  created at: 2022-05-11 15:27:59.43
Requested all items  --  created at: 2022-05-11 15:28:00.595
Requested all items  --  created at: 2022-05-11 15:28:01.434
Requested all items  --  created at: 2022-05-11 15:28:06.929
Displayed all items  --  created at: 2022-05-11 15:28:08.28
Requested all items  --  created at: 2022-05-11 15:28:12.317
Requested all items  --  created at: 2022-05-11 15:28:15.967
Requested all items  --  created at: 2022-05-11 15:28:15.968
Requested all items  --  created at: 2022-05-11 15:28:15.968
Created new Laptop  --  created at: 2022-05-11 15:28:15.969
Requested all items  --  created at: 2022-05-11 15:28:16.865
Requested all items  --  created at: 2022-05-11 15:28:16.866
Requested all items  --  created at: 2022-05-11 15:28:16.867
Requested all items  --  created at: 2022-05-11 15:28:16.867
Requested all items  --  created at: 2022-05-11 15:28:16.868
Created new PreBuilPcFullKit  --  created at: 2022-05-11 15:28:16.869
Requested all items  --  created at: 2022-05-11 15:28:28.102
Requested worst three items of typeLaptop  --  created at: 2022-05-11 15:28:28.107
Read from CSV , 2022-05-11 15:29:52.985
Read from CSV , 2022-05-11 15:29:54.801
Read from CSV , 2022-05-11 15:29:55.464
Requested all items , 2022-05-11 15:29:59.098
Requested all items , 2022-05-11 15:29:59.101
Requested all items , 2022-05-11 15:29:59.102
Created new Laptop , 2022-05-11 15:29:59.102
Requested all items , 2022-05-11 15:29:59.762
Requested all items , 2022-05-11 15:29:59.763
Requested all items , 2022-05-11 15:29:59.763
Created new Laptop , 2022-05-11 15:29:59.764
Requested all items , 2022-05-11 15:30:00.221
Requested all items , 2022-05-11 15:30:00.222
Requested all items , 2022-05-11 15:30:00.222
Created new Laptop , 2022-05-11 15:30:00.223
Requested all items , 2022-05-11 15:30:01.664
Requested all items , 2022-05-11 15:30:01.665
Requested all items , 2022-05-11 15:30:01.665
Created new Laptop , 2022-05-11 15:30:01.666
Requested to show all laptops in store , 2022-05-11 15:30:05.708
Read from CSV , 2022-05-11 15:39:11.489
Created new keyboard , 2022-05-11 15:39:28.504
Created new GamingMonitor , 2022-05-11 15:39:28.924
Created new Mouse , 2022-05-11 15:39:29.727
Created new Motherboard , 2022-05-11 15:39:30.651
Created new Processor , 2022-05-11 15:39:31.245
Created new RamMemory , 2022-05-11 15:39:31.859
Created new keyboard , 2022-05-11 15:39:32.839
Created new GamingMonitor , 2022-05-11 15:39:33.259
Created new Mouse , 2022-05-11 15:39:33.961
Created new Motherboard , 2022-05-11 15:39:34.541
Created new Processor , 2022-05-11 15:39:35.033
Created new RamMemory , 2022-05-11 15:39:35.586
Created new Processor , 2022-05-11 15:39:36.247
Created new RamMemory , 2022-05-11 15:39:36.77
Created new Processor , 2022-05-11 15:39:37.318
Created new RamMemory , 2022-05-11 15:39:38.063
Requested to show all laptops in store , 2022-05-11 15:39:46.904
Requested all items , 2022-05-11 15:39:54.764
Requested all items , 2022-05-11 15:39:54.767
Requested all items , 2022-05-11 15:39:54.768
Created new Laptop , 2022-05-11 15:39:54.768
Requested all items , 2022-05-11 15:39:55.132
Requested all items , 2022-05-11 15:39:55.132
Requested all items , 2022-05-11 15:39:55.133
Created new Laptop , 2022-05-11 15:39:55.134
Requested all items , 2022-05-11 15:39:55.456
Requested all items , 2022-05-11 15:39:55.457
Requested all items , 2022-05-11 15:39:55.458
Created new Laptop , 2022-05-11 15:39:55.458
Requested all items , 2022-05-11 15:39:55.735
Requested all items , 2022-05-11 15:39:55.736
Requested all items , 2022-05-11 15:39:55.736
Created new Laptop , 2022-05-11 15:39:55.737
Requested all items , 2022-05-11 15:39:55.963
Requested all items , 2022-05-11 15:39:55.964
Requested all items , 2022-05-11 15:39:55.964
Created new Laptop , 2022-05-11 15:39:55.965
Requested all items , 2022-05-11 15:39:57.116
Requested all items , 2022-05-11 15:39:57.116
Requested all items , 2022-05-11 15:39:57.117
Created new Laptop , 2022-05-11 15:39:57.117
Requested all items , 2022-05-11 15:39:58.492
Requested all items , 2022-05-11 15:39:58.492
Requested all items , 2022-05-11 15:39:58.493
Created new Laptop , 2022-05-11 15:39:58.493
Requested to show all laptops in store , 2022-05-11 15:40:00.0
Requested all items , 2022-05-11 15:40:13.273
Read from CSV , 2022-05-11 15:42:52.717
Displayed all items , 2022-05-11 15:42:58.687
